,frame_id,video_id,name_cvat,frame,frame_path,frame_usg_area_idx_0,frame_usg_area_idx_1,frame_usg_area_idx_2,frame_usg_area_idx_3,frame_cropped_path,aline,bline,liver,lung,lung_atelectasis,lungpoint,lungslidingabsent,lungslidingpresent,pleural_effusion,s1,s2,spleen,label,size_h,size_w
1,P7E6274W,YWI9C2CG,Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi,520,/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_520.png,0.0,480.0,80.0,556.0,cropped/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_520.png,False,False,False,False,False,False,False,True,False,False,False,False,0,480.0,476.0
2,VEOKZFFC,YWI9C2CG,Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi,530,/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_530.png,0.0,480.0,80.0,556.0,cropped/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_530.png,False,False,False,False,False,False,False,True,False,False,False,False,0,480.0,476.0
3,21QWNL0M,YWI9C2CG,Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi,540,/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_540.png,0.0,480.0,80.0,556.0,cropped/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_540.png,False,False,False,False,False,False,False,True,False,False,False,False,0,480.0,476.0
4,WG3FCVV7,YWI9C2CG,Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi,550,/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_550.png,0.0,480.0,80.0,556.0,cropped/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_550.png,False,False,False,False,False,False,False,True,False,False,False,False,0,480.0,476.0
5,VJD89LA8,YWI9C2CG,Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi,560,/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_560.png,0.0,480.0,80.0,556.0,cropped/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_560.png,False,False,False,False,False,False,False,True,False,False,False,False,0,480.0,476.0
6,R4BAVOEF,YWI9C2CG,Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi,570,/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_570.png,0.0,480.0,80.0,556.0,cropped/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_570.png,False,False,False,False,False,False,False,True,False,False,False,False,0,480.0,476.0
7,POMJ6OYY,YWI9C2CG,Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi,580,/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_580.png,0.0,480.0,80.0,556.0,cropped/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_580.png,False,False,False,False,False,False,False,True,False,False,False,False,0,480.0,476.0
8,S5YNFWQ5,YWI9C2CG,Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi,590,/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_590.png,0.0,480.0,80.0,556.0,cropped/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_590.png,False,False,False,False,False,False,False,True,False,False,False,False,0,480.0,476.0
9,AQJWYFJF,YWI9C2CG,Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi,600,/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_600.png,0.0,480.0,80.0,556.0,cropped/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_600.png,False,False,False,False,False,False,False,True,False,False,False,False,0,480.0,476.0
10,J1MUNIVT,YWI9C2CG,Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi,610,/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_610.png,0.0,480.0,80.0,556.0,cropped/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_610.png,False,False,False,False,False,False,False,True,False,False,False,False,0,480.0,476.0
11,OSEB40D8,YWI9C2CG,Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi,620,/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_620.png,0.0,480.0,80.0,556.0,cropped/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_620.png,False,False,False,False,False,False,False,True,False,False,False,False,0,480.0,476.0
12,G5X5N47D,YWI9C2CG,Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi,630,/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_630.png,12.0,468.0,80.0,556.0,cropped/video_frames/Sonoscape_2021-09_2021-10-18_001_20210928_144651_1.avi/frame_630.png,False,False,False,False,False,False,False,True,False,False,False,False,0,456.0,476.0
